"id","winner","total_votes","name","x0001e","x0002e","x0003e","x0005e","x0006e","x0007e","x0008e","x0009e","x0010e","x0011e","x0012e","x0013e","x0014e","x0015e","x0016e","x0017e","x0018e","x0019e","x0020e","x0021e","x0022e","x0023e","x0024e","x0025e","x0026e","x0027e","x0029e","x0030e","x0031e","x0033e","x0034e","x0035e","x0036e","x0037e","x0038e","x0039e","x0040e","x0041e","x0042e","x0043e","x0044e","x0045e","x0046e","x0047e","x0048e","x0049e","x0050e","x0051e","x0052e","x0053e","x0054e","x0055e","x0056e","x0057e","x0058e","x0059e","x0060e","x0061e","x0062e","x0064e","x0065e","x0066e","x0067e","x0068e","x0069e","x0071e","x0072e","x0073e","x0074e","x0075e","x0076e","x0077e","x0078e","x0079e","x0080e","x0081e","x0082e","x0083e","x0084e","x0085e","x0086e","x0087e","x0088e","x0089e","c01_001e","c01_002e","c01_003e","c01_004e","c01_005e","c01_006e","c01_007e","c01_008e","c01_009e","c01_010e","c01_011e","c01_012e","c01_013e","c01_014e","c01_015e","c01_016e","c01_017e","c01_018e","c01_019e","c01_020e","c01_021e","c01_022e","c01_023e","c01_024e","c01_025e","c01_026e","c01_027e","income_per_cap_2016","income_per_cap_2017","income_per_cap_2018","income_per_cap_2019","income_per_cap_2020","gdp_2016","gdp_2017","gdp_2018","gdp_2019","gdp_2020","x2013_code"
2,"Trump",3161,"Stanton County, Nebraska",5946,3051,2895,387,394,458,382,317,641,679,712,480,424,602,291,179,41.3,1493,4612,4453,4266,1305,1072,4453,2293,2160,1072,507,565,5946,5878,68,5878,5698,116,0,0,0,0,0,14,0,0,3,4,6,0,1,0,0,0,0,0,50,68,0,32,0,0,5766,116,32,14,0,86,355,232,0,0,123,5591,5393,116,0,14,0,0,68,36,32,2700,4357,2224,2133,445,135,127,160,23,4008,97,95,1269,1018,734,610,185,3816,795,641,617,196,679,655,150,1616,1565,338,1072,979,111,"41226","41263","43615","47073","54803","252684","244069","241441","293885","297330",5
3,"Trump",12371,"Pointe Coupee Parish, Louisiana",21883,10623,11260,1298,1043,1657,1388,1279,2567,2153,2632,1478,1854,2671,1419,444,43.1,4828,17592,17055,16226,5788,4534,17055,8078,8977,4534,1979,2555,21883,21464,419,21464,13660,7573,15,0,0,0,0,61,0,31,9,0,16,5,0,0,0,0,0,0,155,419,30,113,37,116,13951,7842,277,98,0,245,610,512,28,0,70,21273,13193,7573,15,61,0,22,409,12,397,11649,16945,7987,8958,1837,422,593,822,0,15218,751,2105,5924,3057,1058,1648,675,12362,2323,2567,2352,284,2153,1699,308,5964,4837,833,4534,3474,898,"43109","44824","47654","50714","54571","832015","853007","858322","879729","789919",3
6,"Trump",9893,"Nodaway County, Missouri",22199,11122,11077,1056,847,997,3045,3810,2406,2207,2054,1151,1292,1733,1050,551,30,3525,19166,18674,15019,4129,3334,18674,9322,9352,3334,1502,1832,22199,21821,378,21821,20724,573,47,23,0,0,3,324,10,66,69,34,21,30,94,24,0,0,0,24,129,378,126,76,69,0,21094,705,131,401,37,222,392,196,26,28,142,21807,20452,573,46,324,24,64,324,38,286,9780,18399,9159,9240,6230,149,981,4901,199,12444,342,494,4732,2591,880,1943,1462,11608,3405,2406,2256,788,2207,2140,660,4497,4280,1273,3334,2932,684,"29176","30260","31434","33241","37241","721662","696458","697205","735020","780125",5
7,"Trump",5054,"Live Oak County, Texas",12175,6656,5519,683,745,592,857,661,1690,1042,1683,846,846,1445,781,304,42.7,2436,9984,9739,9240,3040,2530,9739,5406,4333,2530,1242,1288,12175,12046,129,12046,11423,249,34,0,0,0,0,173,5,0,24,0,0,8,136,0,0,0,0,0,167,129,0,9,0,0,11526,249,60,182,0,287,4898,4423,48,0,427,7277,6853,249,0,173,0,0,2,0,2,6273,9107,4928,4179,1102,309,532,258,3,8637,725,1207,3081,2242,424,607,351,6705,958,1690,1404,102,1042,877,91,3375,2778,421,2530,1646,344,"33097","36235","39634","40618","42590","1088095","1255656","1385958","1452318","864114",6
8,"Trump",5661,"Breathitt County, Kentucky",12802,6422,6380,842,558,775,651,871,1545,1669,1800,974,965,1393,600,159,42.3,2634,10468,10168,9727,2790,2152,10168,5030,5138,2152,971,1181,12802,12754,48,12754,12456,185,11,7,0,0,0,42,23,19,0,0,0,0,0,0,0,0,0,0,60,48,28,20,0,0,12504,213,31,42,0,60,156,116,0,1,39,12646,12360,185,11,42,0,0,48,0,48,6374,10141,5007,5134,1063,252,338,466,7,9105,756,1297,3513,1417,660,606,856,7052,1462,1545,1261,189,1669,1322,405,3739,2865,443,2152,1604,425,"29697","30830","31251","31692","35222","245800","239589","244302","232501","216024",6
9,"Trump",6527,"McDowell County, West Virginia",18083,9187,8896,981,1124,956,920,819,1961,2176,2247,1442,1564,2369,1226,298,45.5,3714,14839,14369,14002,4820,3893,14369,7241,7128,3893,1783,2110,18083,17772,311,17772,16193,1435,25,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,109,311,303,0,6,0,16504,1738,25,16,0,111,246,129,37,0,80,17837,16058,1435,25,10,0,0,309,0,309,11182,14234,7110,7124,1086,293,566,227,0,13283,1524,2164,6329,1988,369,588,321,9595,909,1961,1632,78,2176,1901,133,5253,3554,525,3893,2508,173,"25885","27434","27771","28919","31221","471000","574011","576241","587016","564762",6
10,"Trump",46040,"Wichita County, Texas",132154,68533,63621,8410,8390,8363,10693,11584,19602,15367,14291,8247,7758,10768,6091,2590,34.6,29786,105253,102368,93699,24289,19449,102368,53197,49171,19449,8362,11087,132154,125280,6874,125280,102546,13481,1300,136,36,26,33,2944,238,364,496,112,248,742,744,149,40,44,12,53,4860,6874,1617,924,879,130,108928,15708,2726,4288,417,7586,25823,22564,898,268,2093,106331,85537,13157,786,2704,120,373,3654,178,3476,56064,98010,50604,47406,17654,1709,7583,7585,777,84714,3808,6133,27618,20490,7070,13050,6545,74773,19595,19602,17998,4502,15367,13927,3529,30296,26152,7143,19449,16696,4421,"40488","42076","43798","45009","47089","5257238","5446470","5721759","6053250","6028086",4
11,"Trump",25081,"Muskogee County, Oklahoma",68451,33396,35055,4526,4650,4753,4569,4346,8833,8491,7931,4206,4753,6542,3515,1336,38.1,16686,53460,51765,48918,14332,11393,51765,24902,26863,11393,4988,6405,68451,61412,7039,61412,38971,7043,12543,8834,24,9,11,491,27,42,78,14,1,110,219,26,15,6,0,5,2338,7039,817,4944,80,459,45389,8600,18225,694,70,2902,4535,3521,255,119,640,63916,37692,7026,12241,473,21,72,6391,122,6269,30968,50773,24371,26402,6158,1256,2440,2180,282,45607,1646,4643,15756,9894,4645,6353,2670,39318,9023,8833,7729,1499,8491,7342,1858,16890,14857,3514,11393,9390,2152,"35350","35995","36733","38355","40934","3152700","3213025","3058293","2986740","2989399",5
14,"Trump",41802,"Floyd County, Indiana",77879,37702,40177,4519,4700,5224,5147,4511,9911,9877,10352,5867,5231,7688,2996,1856,39.9,17594,62319,60285,57288,15575,12540,60285,28794,31491,12540,5382,7158,77879,75224,2655,75224,69837,4021,196,36,23,0,7,869,181,235,54,107,66,78,148,11,11,0,0,0,290,2655,1298,290,289,9,72329,5593,515,1179,48,1002,2664,1765,298,43,558,75215,68157,3987,183,869,0,12,2007,89,1918,33011,59568,28491,31077,6507,1125,2145,2507,730,53778,1184,3678,16293,11420,4997,10405,5801,48916,16206,9911,9307,3268,9877,9018,3332,21450,19472,6447,12540,11119,3159,"51977","52293","54217","55680","58165","2835079","2893897","3041192","3144607","3049043",2
19,"Trump",10765,"Franklin County, Georgia",23015,11291,11724,1273,1311,1645,1468,1709,2629,2404,3068,1777,1361,2564,1269,537,41.2,5048,18619,17967,16809,5101,4370,17967,8628,9339,4370,1857,2513,23015,22535,480,22535,19641,2045,74,17,0,0,0,273,0,47,0,3,6,172,45,0,0,0,0,0,502,480,199,107,44,4,20037,2308,185,397,20,548,1120,884,50,108,78,21895,19129,2045,34,270,0,0,417,0,417,10738,17590,8427,9163,2358,182,884,909,383,15609,860,2016,5630,2898,1530,1544,1131,12733,2675,2629,2234,555,2404,2142,489,6206,5063,1036,4370,3294,595,"33937","35048","35479","34939","35255","851168","911006","948034","926200","861105",6
